id,body,picture,actor,time,class,protest,likes,dislikes_hc,dislikes_lc,experiment_group,,,
1,It is mad that we had to protest for the right to protest. #KillTheBill,normative-1.jpg,coachmatthews,-00:51,normative,KTB,13,2,5,var1,,,
2,We are stronger together! Glad we spoke up. Protesting is our God given right.  #KillTheBill,normative-2.jpg,difrad,-00:15,normative,KTB,1,0,2,var1,,,
3,You cannot take away our democracy. We deserve to be heard. ,normative-3.jpg,davebright,-31:52:32,normative,KTB,42,5,19,var2,,,
5,We absolutely needed to #KillTheBill. This was so important for our democracy. ,normative-5.jpg,coachmatthews,-1:31:31,normative,KTB,17,3,12,var4,,,
6,"My niece was there at the #KillTheBill protests! So proud of her. She sent me this picture then, although promised me it wasn't her that put it on the police van! ",normative-6.jpg,davebright,-1:29:32,normative,KTB,18,3,14,var1,,,
7,It was so scary when the police got all their riot gear out,normative-7.jpg,Gemma<3,-27:18:32,normative,KTB,37,8,29,var2,,,
8,I am for peaceful protests! I stood in front of these police officers for 15 mins and they got really angry with me. ,normative-8.jpg,Gemma<3,-00:54:32,normative,KTB,10,2,7,var3,,,
9,I love to see people unite 🥰,normative-9.jpg,Gemma<3,-40:10:32,normative,KTB,46,9,38,var4,,,
10,They won't listen.,normative-10.jpg,Mary789,-51:22:32,normative,KTB,39,8,36,var1,,,
11,Everyone wanted a better view of this protest because it was so good,normative-11.jpg,Mary789,-10:12:32,normative,KTB,26,4,20,var2,,,
12,Peaceful protesting is a human right.,normative-12.jpg,M.Kapadia92,-2:41:32,normative,KTB,17,1,14,var3,,,
13,NO MORE POLICE POWERS! Although tbh the police officer in the front of this picture was actually pretty nice to us,normative-13.jpg,M.Kapadia92,-7:14:32,normative,KTB,25,4,18,var4,,,
14,It is beautiful to see so many people coming together!,normative-14.jpg,M.Kapadia92,-0:10:32,normative,KTB,6,0,3,var1,,,
15,Respect for those who came out,normative-15.jpg,Mary789,-4:12:32,normative,KTB,15,3,13,var2,,,
16,"20,000 strong! Great job!",normative-16.jpg,ryangg,-9:14:32,normative,KTB,18,5,17,var3,,,
17,PROTECT OUR RIGHTS. We can't let the government get away with this. We must shout loud and proud. ,normative-17.jpg,ryangg,-20:22:32,normative,KTB,30,4,27,var4,,,
18,"Glad people were out there, I couldn't make it that day",normative-18.jpg,John_Dessier,-4:10:32,normative,KTB,21,3,19,var1,,,
19,The most organised protest I have ever seen,normative-19.jpg,John_Dessier,-1:23:32,normative,KTB,4,1,5,var2,,,
20,I am for #PeacefulProtest,normative-20.jpg,M.Kapadia92,-2:59:32,normative,KTB,11,3,11,var3,,,
22,Such a great crowd that day. It was nice to see the police in amongst us too. ,normative-22.jpg,Thelma77,-4:44:32,normative,KTB,29,4,22,var1,,,
23,They were doing a great job out there! ,normative-23.jpg,M.Kapadia92,-21:51:32,normative,KTB,38,6,32,var2,,,
25,🥰,normative-25.jpg,Carter_Y,-3:04:32,normative,KTB,13,2,10,var4,,,
26,Love to see it 💙,normative-26.jpg,Carter_Y,-1:36:32,normative,KTB,9,1,8,var1,,,
27,Stronger together. Enough is enough. End violence against women!,normative-27.jpg,Derrick_Manson,-7:27:32,normative,KTB,31,5,28,var2,,,
28,Shame that the government is against expression. Have any of my followers attended this?,normative-28.jpg,Derrick_Manson,-20:50:32,normative,KTB,42,9,37,var3,,,
29,Have any of my followers attended this?,normative-29.jpg,Carter_Y,-18:46:32,normative,KTB,32,5,27,var4,,,
31,So moving. RIP xx #SarahEverard,normative-31.jpg,Sue_S,-24:34:32,normative,SE,7,0,5,var2,,,
35,Proud of you lot 💚,normative-35.jpg,ZJ12,-15:19:32,normative,SE,23,4,22,var2,,,
37,Throwback to fighting for our future.,normative-37.jpg,sweetpea,-80:12:32,normative,SE,56,12,43,var4,,,
38,Lots of love 💚 #SarahEverard,normative-38.jpg,sweetpea,-61:51:32,normative,SE,59,10,37,var1,,,
39,Stonger together 👭,normative-39.jpg,sweetpea,-2:58:31,normative,SE,14,3,9,var2,,,
40,Such a moving tribute. So glad to have been a part of this day. #SarahEverard,normative-40.jpg,wiz_khaleesi,-7:47:31,normative,SE,28,5,21,var3,,,
41,Felt like I was a regular there lol,normative-41.jpg,wiz_khaleesi,-4:34:31,normative,SE,17,4,12,var4,,,
42,Hope #MetPolice didn't  cause trouble at this one.,normative-42.jpg,wiz_khaleesi,-8:28:31,normative,SE,29,4,26,var1,,,
43,What a day that was,normative-43.jpg,casssssssssie,-3:22:32,normative,SE,27,5,20,var2,,,
45,Lots of love 💚,normative-45.jpg,Sharon111,-6:13:32,normative,SE,19,6,16,var4,,,
46,Women stand against violence ✌️ #SarahEverard,normative-46.jpg,casssssssssie,-5:15:32,normative,SE,20,4,14,var1,,,
47,Never forget what happened and keeps happening.,normative-47.jpg,PatelS,-4:14:32,normative,SE,18,3,12,var2,,,
51,Women stand against violence ✌️,normative-51.jpg,Lisa181818,-24:12:32,normative,SE,42,7,30,var2,,,
52,What a beautiful vigil that was! #SarahEverard,normative-52.jpg,Lisa181818,-29:29:31,normative,SE,56,8,39,var3,,,
53,Today was a good day ✌️,normative-53.jpg,tastyrobot,-9:31:31,normative,SE,20,3,16,var4,,,
55,Robbed of her freedom. #SarahEverard,normative-55.jpg,tastyrobot,-7:09:31,normative,SE,18,4,15,var2,,,
56,"I think it's time to actually shut the country down now, stop fooling around. #SarahEverard",normative-56.jpg,ria_camiii,-21:02:31,normative,SE,35,5,27,var3,,,
58,Boycott police!!,normative-58.jpg,ZJ12,-21:44:31,normative,SE,38,4,31,var1,,,
59,#SarahEverard #neverforget 👭,normative-59.jpg,ria_camiii,-21:28:31,normative,SE,46,10,36,var2,,,
61,Sisters 💁‍♀️ #SarahEverard,normative-61.jpg,earthpulse,-29:39:31,normative,SE,50,8,41,var4,,,
62,Once again a reminder that police are not here to protect us. They serve the interests of the state and its sponsors ,normative-62.jpg,caffeinated,-22:36:23,normative,SE,48,7,35,var1,,,
64,I’ve been binging a lot of Law & Order SVU. Those detectives are not bothered enough by what they witness. ✌️,normative-64.jpg,_pug_lover_,-13:12:32,normative,SE,31,5,26,var3,,,
65,#Sisters #SarahEverard #IAmSarah,normative-65.jpg,caffeinated,-16:37:31,normative,SE,27,4,23,var4,,,
66,"This was the very first protest I attended, enjoyed it. ✌️",normative-66.jpg,_pug_lover_,-12:39:31,normative,SE,25,2,17,var1,,,
69,This was such a moving experience. #RIP my beautiful angel. ,normative-69.jpg,livelaughlove,-95:11:32,normative,SE,64,12,46,var4,,,
74,It just...hits different. Come on men! We need your help. ,normative-74.jpg,karenM,-01:33:31,normative,SE,11,1,8,var1,,,
76,"Not all cops are bad, God Bless x",normative-76.jpg,sweetpea,-23:51:31,normative,SE,33,7,27,var3,,,
