id,body,actor,reply,time
1,You're so right. I cannot believe this police bill. It undermines all our democratic values. ,casssssssssie,1,-00:39
2,Is it tho? I think we should just be grateful we live in such a tolerant society.,M.Kapadia92,2,-00:03
3,No one is trying to take away your bloody democracy! ,FreddieBoy,3,-31:18:12
4,Yeah they are.. Have you not seen what the government has done?,localewis,3,-31:18:12
5,"Mate, this government is awful! We have to shout as loud as we can so our voices are heard! ",davebright,3,-25:34:12
6,Whatever - I quite like the current government. Although Boris was the best #BringBackBoris,FreddieBoy,3,-24:22:12
7,Exactly - this was so important for democracy.,casssssssssie,5,-00:02
8,Protesting? These are just youths finding an excuse to sit around and drink beer! What a waste of time. ,Harold_ff,5,-00:01
9,Tbh I'm not against vandalism. The police are the enemy!! ,KeithWayson,6,-00:15
10,You should be a photographer - you've got the lighting just right!,wiz_khaleesi,7,-27:06:59
11,They were dressed in this riot gear from the beginning. No wonder the protest turned into riots. You can't treat people like animals and expect them not to react. ,mariaann,7,-21:42:12
12,The only language the police speak is VIOLENCE,TimBJenkins,8,-00:40:00
13,What are you even fighting for? Peaceful protests are so useless - they'll never make a difference. ,mariaann,9,-39:43:12
14,Why do you hate this government and the police so much? They are just doing their best and I don't really think we should be shouting abuse at them tbh.,M.Kapadia92,9,-32:11:12
15,Was so busy in town that day,lavenderrrrrr,11,-10:10:10
16,"Yeah, I remember it being horrible. I hate when protests just clog up all the roads eurgh. Some of us actually have to work. ",Lilyann_391,11,-9:24:12
17,Nice to see the police in there with the crowds rather than trying to attack them!,breathe_in,12,-2:10:12
18,Looks like good weather for it too! Better that police officer was roasting,localewis,13,-7:03:12
19,Shame it didn't rain on them. Spoilt entitled rich kids. ,Jcole9,13,-6:33:12
20,"These police look pretty calm, especially given people are protesting against them!",breathe_in,15,-2:12:34
21,I hate the police,Lilyann_391,15,-1:47:41
22,"Ah, I remember hearing this commotion from my office. At first I thought there was a riot, but when I saw what it was for you guys had my full support.",localewis,16,-8:46:23
23,"20,000! What an absolute waste of time! I spent 3 hours trying to get into my office that day because it was just surrounded by these idiots. ",Harold_ff,16,-5:36:33
24,Hate it when they close the roads,Harold_ff,17,-20:03:42
25,"Yeah, I was constantly late for work during the protest season. Glad it's over. ",karenM,17,-19:39:12
26,Ignore these two muppets - keep protesting! We can't let the government take away our god given RIGHTS. ,caffeinated,17,-16:31:52
27,My dad was there. He got quite scared when the crowd starting getting aggressive though. It is a real shame when that happens. ,cavsforever,19,-1:21:12
28,"Eurgh, it is not the Tory party's fault that protests get out of hand and need more regulation! ",Derrick_Manson,19,-1:01:22
29,It is inconvenient to everyone luv,FreddieBoy,18,-3:53:22
30,Peaceful protests are the only way <3 ,lee.alexa,20,-2:10:12
31,I remember there being such a great atmosphere at this protest. Everyone was so excited to be there. It is a real shame this government doesn't listen to peaceful protests.,NoahM1121,20,-1:28:37
32,Why didn't the police officer want her picture taken?,Riyalways,22,-4:34:51
33,Bet she's one of the rotten apples!,NoahM1121,22,-4:26:41
34,Great job! I remember back in my day when we campaigned against nuclear armament - it wasn't until we peacefully protested outside the houses of parliament that the government finally began to listen. Keep it up! ,Riyalways,23,-21:19:02
35,Doing a great job what? Disrupting society? Yeah great job - the police bill passed any way so it was just a colossol waste of time. Cheers guys. Great job. ,karenM,23,-21:00:24
36,Yeah and my sister couldn't get an ambulance because these idiots were blocking the road! ,Harold_ff,23,-20:54:13
37,My neighbours shop was robbed and the police took 4 hours to get there because they were too busy managing this lot. It's ridiculous. ,karenM,23,-20:27:23
38,So glad to see people out in force for this protest. I was gutted that I couldn't make it. ,ria_camiii,25,-3:01:12
39,This was at the height of lockdown right? 'Stay indoors unless you're an entitled millenial' ,Harold_ff,25,-2:33:12
40,They are fighting for your rights as well as their own! You should be grateful! ,casssssssssie,25,-2:09:45
41,"Wow, lots of people still wearing masks #sheep",Jcole9,26,-1:31:47
42,Don't get why they bothered tbh. I'm so sick of these entitled people. Get a bloody job!!!,FreddieBoy,26,-1:12:46
43,Why is everyone lying down? ,John_Dessier,29,-18:42:33
44,I can't believe this bill actually got blocked by the House of Lords! Apparently they could hear you guys in the chambers!,lavenderrrrrr,29,-18:31:44
45,No man has ever been told to 'text me when you get home'. Peaceful protests with such moving words on signs are the best way of sending a message.,lavenderrrrrr,31,-24:25:12
46,You can't blame all police for Sarah Everard though. It was just a rotten apple - and he's been punished. ,FreddieBoy,31,-24:12:10
47,Eurgh I'm so sick of people saying that. The met police are all rotten! ,tastyrobot,31,-24:00:35
48,So many flowers...,tastyrobot,35,-15:01:31
49,Vigils like this are so pointless though. Standing around in a crowd won't achieve anything. ,mariaann,38,-53:56:42
50,End violence against women! I'm so sick of this shit! ,bblueberryy,37,-79:18:35
51,Yeah but standing there quietly won't change anything. We need to do more!,TimBJenkins,37,-63:33:10
52,"I get that what happened to Sarah Everard was terrible, but I'm not really sure what a vigil like this in the middle of lockdown really achieved? Lives were lost beause of this",FreddieBoy,37,-45:42:16
53,Inspirational moment. Looks like such a big crowd as well. ,MannyDL34,38,-61:02:33
54,Yes girls. This was such an important cause. You did a great job x,jackrussellmom,39,-1:43:12
55,She's that actress isn't she who ended up on the front page of the newspapers?,Jcole9,39,-1:10:41
56,I'm not normally concerned about health and safety but those candles really shouldn't be that close to that paper! ,Thelma77,40,-7:00:31
57,How many more protests do we need to have before the met police sorts its game out! Lives are being lost!!,kittycatbakes,40,-6:30:34
58,Looks like there was a high police presence? Not really sure why given it was a peaceful protest.,wiz_khaleesi,42,-4:12:58
59,I applied for the met police once but they rejected my application. Now I'm so glad I'm not a police officer! ,LucieLoo,43,-1:34:12
60,Youths these days just vandalise whatever they want. It is sickening. ,Harold_ff,43,-0:0:17
61,This was a really beautiful tribute. I just wish that the police would do something so that there are no more #SarahEverards,coachmatthews,46,-4:58:37
62,omg they kind of look like military? Charging around in twos? This was a peaceful vigil right? Theres just no need for it,mateoV,47,-2:05:18
63,lots of people were there - i'd be worried about covid.,Thelma77,51,-20:10:00
64,"This is such a powerful photo. I'm so proud of the young women of today, fighting for their rights and fighting against the system. Back in my day, we were fighting for women to be recognised in the workplace and it is so great to see how far we've come, but there's just so much further to go. Keep doing what you're doing girls x",ZJ12,52,-29:02:27
65,What does the 97% refer to?,Gemma<3,53,-1:40:38
66,Percentage of womxn who have been sexually assaulted.,tastyrobot,53,-1:10:36
67,That's so sad. Thinking about what the women of this country have to put up with is just disgusting. I can't believe the met police's reaction as well - telling people to flag down a bus. Absolute crap. This was a fantastic vigil though. Really sent the message that enough is enough. ,LucieLoo,53,-0:32:05
68,"I just don't get why they needed so many police there? It's not like things were going to get out of hand, it's a vigil ffs. Tbh, I think we need to take stronger action against the police. These peaceful protests and vigils just aren't enough anymore. We need to fight back. ",Sharon111,55,-1:32:04
69,Sarah was absolutely robbed of her freedom. She was so young and she had so much life ahead of her. I can't believe what that police officer did. And all the things about him being nicknamed 'the rapist'. They knew. The police knew he was a wrong'un and they did nothing. It makes me SICK. ,Riyalways,55,-1:17:19
70,ACAB! ACAB! ACAB! WE NEED TO BOYCOTT THE POLICE. VILE HUMANS. BURN THEM TO THE FLOOR.,KeithWayson,58,-21:20:20
71,"Millenials are so dramatic sometimes. This was one rotten apple, and he got life in prison. What more is there to say. There are bigger issues going on like the cost of living crisis.",John_Dessier,59,-20:06:09
72,"Fuck the pigs! All cops are bastards! Tbh I think we should bring back the death penalty for Wayne Couzens, what he did was actually sickening. He abused his power and the met did nothing. Fuck em. We should be rioting not having peaceful vigils. ",Sharon111,61,-25:46:53
73,#IamSarah and I am scared to leave my home on my own. I'm scared to walk around and I'm scared to trust those who are supposed to protect us. This was such a beautiful vigil but I am just so scared 😭 It is so unfair that I know my brothers don't walk around with their keys in their hands and their rape alarms ready. ,caffeinated,62,-15:05:43
74,"Oh sweetheart, I'm so sorry to hear that but I completely understand. It really affects your trust when something like this happens. ",Gemma<3,62,-13:49:40
75,So great to see so many women of different ages and races there. We are all Sarah Everard. This was such a moving day. ,hockeymom101,64,-12:45:34
76,RIP girls x Maybe the laws we need are police reform? #SarahEverard,hockeymom101,65,-14:14:14
77,"I absolutely agree. I'm so sick and tired of the police just getting away with this bullshit. We need to hold them to account properly, not like this",mariaann,66,-10:13:18
78,We need men to join this fight with us. I'm sick of it being just women who care about women's safety. Hold your brothers to account men. Women's safety is a problem of male violence. ,bblueberryy,74,-1:19:29
79,Amen sister. It's always the women doing all the emotional work. ,KatieeeM,74,-1:10:13
80,#NotAllMen,John_Dessier,74,-1:02:36
81,"I have so many mixed feelings about this. I feel so sorry for this poor woman being a police officer but at the same time, why would you choose to have a career with such a violent institution. ",cavsforever,76,-20:25:51
83,Maybe we need to stop protesting and start rioting! ,TimBJenkins,98,-0:13:43
84,I can't believe we even need to say this. STOP KILLING BLACK PEOPLE. ,tastyrobot,86,-19:21:12
